"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",1,0.99,"Used","0","None","Unknown","64","iPad mini",NA,12310,"Test"
"*** Like new, Apple iPad Mini 3 Silver 128GB. Comes with AC adapter and lightning cable.",0,499.99,"Seller refurbished","0","None","Gold","128","iPad mini 3",NA,12311,"Test"
"Tablet is Good Working. Has been reset to the factory settings.",0,319.99,"Used","0","None","Unknown","16","iPad Air",NA,12312,"Test"
"",0,590,"New","0","None","Gold","64","iPad Air 2",NA,12313,"Test"
"",0,258.98,"New","0","None","Unknown","16","iPad mini",NA,12314,"Test"
"Good working condition and fully functional 32GB iPad 2 Wifi - Black. Please read full description.",1,169,"Used","0","None","Black","32","iPad 2",NA,12315,"Test"
"Item is in excellent condition. It does not have any visible cosmetic wear. See pictures for ",1,249.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12316,"Test"
"",0,645.99,"New","1","Unknown","Gold","64","iPad Air 2",NA,12317,"Test"
"This item is in full working condition with all necessary charging components. Components may be ",0,211.95,"Used","1","Verizon","Black","16","iPad 2",NA,12318,"Test"
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,245.19,"Seller refurbished","0","None","Black","16","iPad 4",NA,12319,"Test"
"",0,445.95,"New","0","None","Space Gray","64","iPad mini 3",NA,12320,"Test"
"New in box, protective plastic still on",0,419.95,"New other (see details)","1","Verizon","Gold","16","iPad mini 3",NA,12321,"Test"
"",1,0.99,"Used","0","None","Unknown","64","iPad 4",NA,12322,"Test"
"",0,389,"New other (see details)","1","T-Mobile","White","16","iPad Air",NA,12323,"Test"
"",1,130,"Used","0","None","White","64","iPad mini 2",NA,12324,"Test"
"Item is not in the original box. Shows signs of use, guaranteed in working order.",0,112.99,"Seller refurbished","0","None","Black","32","iPad 1",NA,12325,"Test"
"&#034;&#034;Buy in Confidence I&#039;m serious person&#034;&#034; like New,sell because not used come with Original Box and ",0,375,"Used","0","None","Unknown","32","iPad 4",NA,12326,"Test"
"Only 6 weeks old in perfect condition",0,217,"Used","0","None","White","16","iPad mini 2",NA,12327,"Test"
"",0,499.99,"New","0","None","Space Gray","16","iPad Air 2",NA,12328,"Test"
"In excellent used condition, in box, with charger, handstand swivel case and literature.",0,299.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12329,"Test"
"",0,549,"New","0","None","Unknown","64","iPad Air 2",NA,12330,"Test"
"The iPad mini 2 has absolutely no physical wear, scratches, dents, or technical issues of any kind, ",1,225,"Used","0","None","Unknown","16","iPad mini 2",NA,12331,"Test"
"",1,0.99,"Used","0","None","White","16","iPad mini",NA,12332,"Test"
"",0,279.99,"Used","0","None","Unknown","32","iPad 2",NA,12333,"Test"
"",0,438.99,"New","0","None","Unknown","16","iPad Air 2",NA,12334,"Test"
"",0,370,"Used","0","None","White","16","iPad mini 3",NA,12335,"Test"
"Perfect Condition! Only used for 1 week.",0,415,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12336,"Test"
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,96,"Used","1","AT&T","White","16","iPad 1",NA,12337,"Test"
"",0,385,"New","0","None","Unknown","16","iPad mini",NA,12338,"Test"
"great condition",1,255,"Used","0","None","Unknown","16","iPad Air",NA,12339,"Test"
"Never been used period, oped to activate , it will be shut off around a week after u receive it so u ",1,0.99,"New other (see details)","0","None","Gold","16","iPad mini 3",NA,12340,"Test"
"Like new. Has a screen protector and has been in the otter box case since I have received it.",0,175,"Used","0","None","Unknown","32","iPad 1",NA,12341,"Test"
"",0,215,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12342,"Test"
"",0,285,"New","0","None","White","16","iPad mini",NA,12343,"Test"
"",1,425,"Used","0","None","White","16","iPad Air 2",NA,12344,"Test"
"Showroom Display Item. Small Scratches On Backside.",0,399.94,"New other (see details)","0","None","Gold","16","iPad Air 2",NA,12345,"Test"
"",1,300,"New","0","None","Unknown","16","iPad Air 2",NA,12346,"Test"
"This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ",0,101,"Used","1","AT&T","White","64","iPad 1",NA,12347,"Test"
"Perfect working condition. See photos for actual item.",1,0.01,"Used","0","None","Gold","64","iPad mini 3",NA,12348,"Test"
"",0,329,"New other (see details)","0","None","Gold","16","iPad mini 3",NA,12349,"Test"
"In great shape. All settings and memory reset to start up new.",0,280,"Used","0","None","Unknown","16","Unknown",NA,12350,"Test"
"",0,649.99,"New","0","None","Space Gray","64","iPad Air 2",NA,12351,"Test"
"",1,350,"New","1","Unknown","Unknown","64","iPad Air 2",NA,12352,"Test"
"FULLY FUNCTIONAL",1,0.99,"Manufacturer refurbished","0","None","Black","16","iPad mini 2",NA,12353,"Test"
"",1,0.99,"Used","0","None","Gold","128","iPad Air 2",NA,12354,"Test"
"Grade B devices have a small amount of visible wear and tear due to previous use and definitely No ",0,325,"Used","1","Verizon","Space Gray","128","iPad Air",NA,12355,"Test"
"Lightly used,, upgraded  .too I Phone 5c 32gb Thank you for your interest.  Grade A comes with ",0,265.99,"Used","1","Verizon","Unknown","32","iPad mini",NA,12356,"Test"
"",1,200,"Used","0","None","White","64","iPad mini",NA,12357,"Test"
"",0,174.99,"Used","0","None","Unknown","16","iPad mini",NA,12358,"Test"
"This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ",0,159.99,"Used","0","None","White","16","iPad mini",NA,12359,"Test"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,102,"Used","1","AT&T","White","64","iPad 1",NA,12360,"Test"
"",1,350,"New","0","None","Black","16","iPad mini 2",NA,12361,"Test"
"This iPad is in extremely good condition.  The only defect is on the top left corner where it had ",0,165,"Used","0","None","White","32","iPad 2",NA,12362,"Test"
"",0,799,"New","1","Unknown","Space Gray","128","iPad Air 2",NA,12363,"Test"
"",1,595,"Used","1","AT&T","Space Gray","128","iPad mini 2",NA,12364,"Test"
"",0,280,"Used","0","None","Black","16","iPad 4",NA,12365,"Test"
"",1,125,"Used","1","Unknown","Unknown","32","Unknown",NA,12366,"Test"
"",1,165,"Used","0","None","White","16","iPad 2",NA,12367,"Test"
"",0,190.45,"Used","1","Verizon","Unknown","64","iPad 1",NA,12368,"Test"
"Mint condition. Not a single scratch. I got this iPad mini 3 as a bonus from the company I work for ",0,419.99,"Used","0","None","Unknown","64","iPad mini 3",NA,12369,"Test"
"",0,319.99,"New","0","None","White","16","iPad mini 2",NA,12370,"Test"
"Like New",0,399.95,"Used","0","None","Unknown","16","iPad Air 2",NA,12371,"Test"
"",0,449,"New","1","AT&T","Space Gray","128","iPad mini 2",NA,12372,"Test"
"This TAB is in average condition with some scratches on the housing or screen (does not affect ",0,91,"Used","0","None","White","32","iPad 1",NA,12373,"Test"
"",1,0.99,"New","0","None","Black","16","iPad mini",NA,12374,"Test"
"100% working condition, No icloud blocks, tablet is ready for new user. See item description for ",0,170,"Seller refurbished","0","None","Black","16","iPad mini",NA,12375,"Test"
"iPad looks and works good. Screen is new, back and edges will  have some scuffing.  Generic wall ",0,228.88,"Seller refurbished","0","None","Unknown","32","iPad 3",NA,12376,"Test"
"Item has been professionally tested and inspected. Tests show that all features work correctly. This ",0,150.99,"Used","0","None","Black","32","iPad 2",NA,12377,"Test"
"",1,650,"New","0","None","Unknown","128","iPad Air 2",NA,12378,"Test"
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,147.72,"Used","1","AT&T","Black","32","iPad 2",NA,12379,"Test"
"",0,179.99,"Used","0","None","Space Gray","16","iPad mini",NA,12380,"Test"
"",0,115,"Used","1","AT&T","Unknown","16","iPad 2",NA,12381,"Test"
"",0,271,"New","0","None","Unknown","16","iPad mini",NA,12382,"Test"
"",0,200,"Used","Unknown","Unknown","White","Unknown","Unknown",NA,12383,"Test"
"Device is in GOOD used cosmetic condition with normal scratches &amp; wear, engravement on the housing. ",0,189.95,"Used","1","AT&T","Unknown","64","iPad 2",NA,12384,"Test"
"Excellent used condition- barely used",0,400,"Used","0","None","White","64","iPad 4",NA,12385,"Test"
"Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ",0,349.99,"Seller refurbished","1","AT&T","White","32","iPad 4",NA,12386,"Test"
"",0,650,"New","1","AT&T","White","128","iPad 4",NA,12387,"Test"
"Good condition and functional 32GB iPad Mini Wifi - Black. Please read full discription",1,179,"Used","0","None","Black","32","iPad mini",NA,12388,"Test"
"",0,315,"Used","0","None","White","16","iPad mini 2",NA,12389,"Test"
"",0,680,"New","1","Unknown","Gold","64","iPad Air 2",NA,12390,"Test"
"",1,149.99,"Used","0","None","Black","16","iPad 3",NA,12391,"Test"
"100% functional, no damage.",1,0.01,"Used","0","None","Black","64","iPad 2",NA,12392,"Test"
"",0,280,"Used","0","None","Unknown","64","iPad 2",NA,12393,"Test"
"*** Like new, Apple iPad Mini 3 WiFi+4G Silver 128GB. Comes with AC adapter and lightning cable.",0,599.99,"Seller refurbished","1","Unknown","White","128","iPad mini 3",NA,12394,"Test"
"",0,795,"New","1","Unknown","Gold","128","iPad Air 2",NA,12395,"Test"
"",0,329.99,"Used","0","None","Space Gray","16","iPad Air",NA,12396,"Test"
"",0,275,"Used","1","Verizon","Black","16","iPad mini",NA,12397,"Test"
"",0,324.99,"Used","0","None","White","32","iPad 4",NA,12398,"Test"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,154,"Used","1","Verizon","White","32","iPad 2",NA,12399,"Test"
"",0,299.95,"Used","0","None","White","16","iPad 4",NA,12400,"Test"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,284,"Used","1","Unknown","White","32","iPad 4",NA,12401,"Test"
"",0,199.99,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12402,"Test"
"",1,35,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12403,"Test"
"",0,499.99,"New","1","Unknown","Gold","16","iPad mini 3",NA,12404,"Test"
"It shows a fair amount of cosmetic wear but other than that perfectly working. Please check ",0,250,"Used","1","Verizon","Black","16","iPad 2",NA,12405,"Test"
"Only used twice to download pictures.",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12406,"Test"
"This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ",0,159.99,"Used","0","None","White","16","iPad 2",NA,12407,"Test"
"",0,70,"Used","0","None","White","16","iPad 1",NA,12408,"Test"
"",0,165,"Used","0","None","Black","16","iPad mini",NA,12409,"Test"
"Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ",0,249.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12410,"Test"
"",0,229.99,"Used","0","None","White","16","iPad 2",NA,12411,"Test"
"",0,749.95,"New","0","None","Unknown","128","iPad Air 2",NA,12412,"Test"
"",1,99,"New","0","None","Gold","16","iPad mini 3",NA,12413,"Test"
"",0,740,"New","1","Unknown","Space Gray","64","iPad Air 2",NA,12414,"Test"
"Near mint, thin scratch on Apple logo",1,320,"Used","1","Unknown","Black","128","iPad Air",NA,12415,"Test"
"Works GREAT.SCreen has just minor wear and back looks fine.Its corners and edges have some minor ",0,149,"Used","1","Verizon","Black","16","iPad 2",NA,12416,"Test"
"",0,426.3,"New","Unknown","Unknown","Black","Unknown","Unknown",NA,12417,"Test"
"",0,679.99,"New","1","Unknown","Space Gray","16","Unknown",NA,12418,"Test"
"Has dents on top two corners.  This listing does not include a charger.",0,279.99,"Used","Unknown","Unknown","Black","32","iPad 4",NA,12419,"Test"
"Great working condition, little nicks in the corners, screen looks and feels great, great standup ",0,200,"Used","Unknown","Unknown","Black","Unknown","Unknown",NA,12420,"Test"
"",0,689.99,"New","1","Unknown","White","64","iPad mini 3",NA,12421,"Test"
"",0,460,"New","0","None","Black","16","iPad mini 2",NA,12422,"Test"
"",0,789.99,"New","1","Unknown","Gold","64","iPad Air 2",NA,12423,"Test"
"",0,634.99,"New","0","None","Space Gray","128","iPad Air 2",NA,12424,"Test"
"",0,899.99,"New","1","Unknown","Space Gray","128","iPad Air 2",NA,12425,"Test"
"",0,324.99,"Used","1","Verizon","Unknown","32","iPad 4",NA,12426,"Test"
"",0,549.99,"New","0","None","Unknown","128","iPad mini 3",NA,12427,"Test"
"This item was opened by me after purchasing powered on once or twice for display purposes.  Still in ",0,285,"New other (see details)","0","None","White","16","iPad mini 2",NA,12428,"Test"
"Light use.",1,389,"Used","0","None","Unknown","16","Unknown",NA,12429,"Test"
"Excellent condition. Under Apple care November 09, 2015. Working and tested. Minor sign of use. ",0,295.95,"Used","0","None","Gold","16","iPad mini 3",NA,12430,"Test"
"",0,399.95,"Manufacturer refurbished","1","T-Mobile","Unknown","16","iPad Air",NA,12431,"Test"
"",1,0.99,"Used","0","None","Space Gray","16","iPad mini 2",NA,12432,"Test"
"Brand new condition, iPad has been rarely used. Includes red ipad smart case. Includes original box.",0,300,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12433,"Test"
"Works great will have to download your own iTunes account to set up your Icloud account",0,130,"Used","Unknown","Unknown","Space Gray","Unknown","iPad 2",NA,12434,"Test"
"***128gb***  black/space grey iPad Air EUC (no scratches, dents, or blemishes)",1,550,"Used","Unknown","Unknown","Space Gray","128","Unknown",NA,12435,"Test"
"",0,424.65,"New","0","None","Gold","16","iPad Air 2",NA,12436,"Test"
"This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ",0,90,"Used","0","None","White","16","iPad 1",NA,12437,"Test"
"",0,475,"New","0","None","Unknown","64","iPad mini 3",NA,12438,"Test"
"Overall very good condition, very minor signs of use.",0,659.49,"Used","1","AT&T","Space Gray","128","iPad Air 2",NA,12439,"Test"
"",0,177.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12440,"Test"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,204,"Used","0","None","White","64","iPad 2",NA,12441,"Test"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,406,"Used","0","None","White","64","iPad 2",NA,12442,"Test"
"Pristine Condition, (9.75/10). No scratches, dents, or bent corners. Unit has a few tiny markings on ",0,285,"Used","0","None","Black","16","iPad 4",NA,12443,"Test"
"",0,229,"Used","0","None","Unknown","64","iPad 1",NA,12444,"Test"
"New Opened Box powered up only.",0,394.99,"New other (see details)","1","Unknown","Space Gray","16","iPad mini 3",NA,12445,"Test"
"",0,450,"New","0","None","Unknown","16","iPad Air 2",NA,12446,"Test"
"Has a scratch",1,50,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12447,"Test"
"Used a few times for my iPad. Great Condition. Bluetooth Pairing.",1,7.99,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",NA,12448,"Test"
"iPad Air 2, very good condition, Does not include original box, Includes Apple certified ",0,465.99,"Seller refurbished","0","None","White","64","iPad Air 2",NA,12449,"Test"
"",0,470,"New other (see details)","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12450,"Test"
"",0,445,"New","0","None","Gold","16","iPad Air 2",NA,12451,"Test"
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,358.24,"Seller refurbished","1","AT&T","Space Gray","64","iPad Air",NA,12452,"Test"
"",0,749.95,"New","0","None","Space Gray","128","iPad Air 2",NA,12453,"Test"
"",0,320,"Used","0","None","Black","16","iPad 4",NA,12454,"Test"
"",0,639.99,"New","Unknown","Unknown","White","Unknown","Unknown",NA,12455,"Test"
"",1,0.99,"New","1","T-Mobile","White","64","iPad Air 2",NA,12456,"Test"
"",0,399.99,"New","0","None","Gold","16","iPad mini 3",NA,12457,"Test"
"",0,639.99,"New","0","None","Gold","128","iPad mini 3",NA,12458,"Test"
"Used Fully Functional, iPad ONLY.",0,154.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12459,"Test"
"",0,408.6,"New","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12460,"Test"
"",1,0.99,"New","0","None","Gold","64","iPad mini 3",NA,12461,"Test"
"**MINT CONDITION** Original Owner",0,345,"Used","Unknown","Unknown","Unknown","16","iPad 4",NA,12462,"Test"
"",1,249,"Used","0","None","White","16","Unknown",NA,12463,"Test"
"",0,399,"Used","Unknown","AT&T","White","32","Unknown",NA,12464,"Test"
"",0,249,"Seller refurbished","Unknown","Unknown","White","16","Unknown",NA,12465,"Test"
